attackkey,overlap,total_received,tp,fp,tn,fn
71ff7d441d78589325be992853de0bc8,0,1466250,1582358,116108,1466250,0
a0b8ad7dad118fc46736b8d52a6e9c60,0,1466250,1582358,116108,1466250,0
98c82b98109a8dc6811e50d86010a5d6,0,1466250,1582358,116108,1466250,0
a5b44e6c2ef7bebaf6b1d1d9e069ecac,0,1097130,1582358,485228,1097130,0
c4a88192c480b29ec408de36e8182a9f,0,1582358,1582358,0,1582358,0
8f2fe83cc03b36fb880fb6c13bfb2518,0,1582358,1582358,0,1582358,0
5aa0246c05de3435cdd12603753fecb4,0,1582358,1582358,0,1582358,0
2d6c317bb73f746f857118f740a0bbf1,0,1466250,1582358,116108,1466250,0
79b09752725ef0dc754ddc73a4aab6aa,0,1097130,1582358,485228,1097130,0
0e0ad1669ed7b4bd375b16bbe0852386,0,1097130,1582358,485228,1097130,0
d8e1bac86d7c12f692c1db4e56ddb9d5,0,1097130,1582358,485228,1097130,0
e03e6d034a594d08c4b4b462699ffca6,0,1466250,1582358,116108,1466250,0
18afb797809676ae1957f9c44ee858ed,0,1466250,1582358,116108,1466250,0
86fdab682103f9ef28ed04ce7fd15e0a,0,1582358,1582358,0,1582358,0
bef6d85dfd9a79b2da4f33fa7f666d59,0,1466250,1582358,116108,1466250,0
aa85b5f273032ce2887b45bbb4dea773,0,1582358,1582358,0,1582358,0
4f674046cdb537c135ae8c9f98f84cbf,0,1466250,1582358,116108,1466250,0
6a0d938f9c5df9d0888ccdb002ea142b,0,1097130,1582358,485228,1097130,0
07643f4c01920d5130226ed9f19d4b1e,0,1097130,1582358,485228,1097130,0
99ee54de791768bdd3b7a8d8bd0ea4cb,0,1466250,1582358,116108,1466250,0
c96af6d9988bd4386a7db24d5fd3d32c,0,1466250,1582358,116108,1466250,0
25dfa5bdefd51d26c18f8a184ddd1956,0,1097130,1582358,485228,1097130,0
4d3c20881eb221dfdecab6e910af2512,0,1097130,1582358,485228,1097130,0
894d272c5ec151356713c9190e3e1db1,0,1097130,1582358,485228,1097130,0
3dac5ef83a9e34371bd7c3c0733cd36b,0,1097130,1582358,485228,1097130,0
ce50db75cd2e5e376c3329d17e53c126,0,1466250,1582358,116108,1466250,0
7ea56af5959be45fafdf3be05fb0f4e3,0,1466250,1582358,116108,1466250,0
38aa4663e153972e6b63317631dfbb7f,0,1097130,1582358,485228,1097130,0
e93d5dce39222781a2d412c6f0ea028f,0,1466250,1582358,116108,1466250,0
ec4a3b49b9fa0f6d71c4074c979f1ab6,0,1466250,1582358,116108,1466250,0
22c9529af2ba9b84741b429c4232b7fd,0,1097130,1582358,485228,1097130,0
cf742e5b057edfaabd1b3c6f3e3008ba,0,1466250,1582358,116108,1466250,0
e7348003d576d60ece6ea800b41e2981,0,1097130,1582358,485228,1097130,0
ad7ddd952b807f21c6a91de03a12527e,0,1466250,1582358,116108,1466250,0
586e3f0c5363df2a5ca9b53248b9ba74,0,1466250,1582358,116108,1466250,0
9f9b19d9aeb3efd03f984994cd8cf8da,0,1466250,1582358,116108,1466250,0
968117c31b16d683deae5f5ec641c88f,0,1466250,1582358,116108,1466250,0
8b306430e7e44749438a7a76c8f49137,0,1097130,1582358,485228,1097130,0
5db6ca9c77777d22f9efc0ba14d37993,0,1097130,1582358,485228,1097130,0
848629338acdeb4b38b6486a342aa949,0,1097130,1582358,485228,1097130,0
2322ee3d829d6d5d3bd98c694a564924,0,1097130,1582358,485228,1097130,0
3706b4fd3c92194e6116cb0f40e6c93b,0,1097130,1582358,485228,1097130,0
b36480ec60638b86b05429aa95dcb8b1,0,1466250,1582358,116108,1466250,0
15e15b4ca16d29a3808b542ff80c4690,0,1466250,1582358,116108,1466250,0
73aad2822ec235e23082e2b5a2d8655d,0,1097130,1582358,485228,1097130,0
a37fc7031a6464a189b0f20b57ee3b4b,0,1466250,1582358,116108,1466250,0
0c615a244b358d5776bed5d9ebe05414,0,1582198,1582358,160,1582198,0
94e9a2940ddd082e6e3fdc84ead74ef0,0,1582358,1582358,0,1582358,0
bf67a6ad0469624bc476de8ab7c3400e,0,1097130,1582358,485228,1097130,0
39e1c4649d72652f8c0830de2194ddae,0,1582358,1582358,0,1582358,0
9f1663cd07e5a4f00c9cc8c9b81a1945,0,1582358,1582358,0,1582358,0
f6516eb7ca9dfafb164f565b3a71cbe9,0,1097130,1582358,485228,1097130,0
a02a984e063c08068fa1e38718659b62,0,1466250,1582358,116108,1466250,0
af62f3c890930fb46800321e0243a387,0,1466250,1582358,116108,1466250,0
1523b980197e820973fdfcab295b4c18,0,1582358,1582358,0,1582358,0
20fc399b6e3d91958ab38c7acf067612,0,1582358,1582358,0,1582358,0
f3cea536dbc05dac0dcb523974881996,0,1466250,1582358,116108,1466250,0
c606c18a73329bd75ce7147b0359d974,0,1097130,1582358,485228,1097130,0
ca59a133cf73ea743908aa207a074dd4,0,1466250,1582358,116108,1466250,0
c0b5dac5f4d53a8d750873ed35671149,0,1097130,1582358,485228,1097130,0
402db11d6885de5d2c0fed4982321120,0,1097130,1582358,485228,1097130,0
3332a164aad6e53089f60a486e477acd,0,1409828,1582358,172530,1409828,0
7715f50469686f6ffa7d127db6d120e3,0,1466250,1582358,116108,1466250,0
6737ba5dcd7789fd99f2e232e70c5c9b,0,1466250,1582358,116108,1466250,0
31dfe0457ff50ce9ed214c8a77e635c4,0,1466250,1582358,116108,1466250,0
fc47519221339fb78655fbf25739765d,0,1582358,1582358,0,1582358,0
e1541124ddd4993358e362abbe73c3db,0,1097130,1582358,485228,1097130,0
b7e7b0b51bc49fc23efec75a68f3c6ac,0,1466250,1582358,116108,1466250,0
60db4bacc978b34e89ac9c58e8969957,0,1097130,1582358,485228,1097130,0
54b4ae9dbe1d21ecb25ce06b431ce719,0,1097130,1582358,485228,1097130,0
98f999143a5d41b73de4498a4c8d51b1,0,1466250,1582358,116108,1466250,0
6580a0015f03e7d63b56b7e2ca62908c,0,1097130,1582358,485228,1097130,0
79941bc51f9879472fd484ce5542e554,0,1097130,1582358,485228,1097130,0
def8adfcb1f4c290394239f8867c066a,0,1097130,1582358,485228,1097130,0
6e95b0eeb0038092b2c095d65bf0c7ee,0,1097130,1582358,485228,1097130,0
883dea925cac671e75146f531e54ac5e,0,1466250,1582358,116108,1466250,0
5e4a76b0128f0991638e03b3b0d7ce4d,0,1097130,1582358,485228,1097130,0
229afeeb24fa0a98b5f609b5a4f23ed9,0,1097130,1582358,485228,1097130,0
7c909649f4ec0dd3a88867641bacd056,0,1466250,1582358,116108,1466250,0
b71de491259cfec8bf8874626f0b9478,0,1097130,1582358,485228,1097130,0
cb6dfe8c20909ecfd02ef8e8b2c6aa3c,0,1097130,1582358,485228,1097130,0
02ca4f902b395e0fa10d56b7a1a70a9f,0,1582358,1582358,0,1582358,0
0d8119604993f414d5677ad5d12b5ccf,0,1466250,1582358,116108,1466250,0
9ec938d83a145c111e4dc96438f7d903,0,1097130,1582358,485228,1097130,0
aa55c194d1ddc55231c1862ef6c54971,0,1097130,1582358,485228,1097130,0
75954540322b27440ec08f7fa1d8cf07,0,1409828,1582358,172530,1409828,0
a3eb865faa52d6c28fc328cde3a227b5,0,1466250,1582358,116108,1466250,0
6174c4036ef81a53042d275341463199,0,1466250,1582358,116108,1466250,0
ccf5eec6cfe6764747152dde47dd0ac2,0,1097130,1582358,485228,1097130,0
42c3016683437deb382d8fdabd438d14,0,1097130,1582358,485228,1097130,0
8d031b0dcaa77b2cd4d015ced7b3cfe1,0,1097130,1582358,485228,1097130,0
c7d18456b0f108530600b1e8357ec665,0,1097130,1582358,485228,1097130,0
533e77e51e087311b7be8ace34815783,0,1466250,1582358,116108,1466250,0
