attackkey,overlap,total_received,tp,fp,tn,fn
a4768f7355447f1d2446c945c079922b,0,1582358,1582358,0,1582358,0
e3f7f0f4245f803d9458a9a882bd1816,0,1582350,1582358,8,1582350,0
4ace28ccd9d79eb2bf88d1aed1ff7c0d,0,1582358,1582358,0,1582358,0
4c853fcff01b06cd9571173df0ddfdae,0,1582358,1582358,0,1582358,0
b0e94727d740256be0aa28ac8ccdc5d4,0,1582356,1582358,2,1582356,0
0e35929e41858f4e8f7adbbead019c09,0,1582358,1582358,0,1582358,0
3bc4411e6ad43580551f36a9fffc1347,0,1582356,1582358,2,1582356,0
6c860f9e8c14a471d0a2977d4fde72fe,0,1582356,1582358,2,1582356,0
6850a3840f24fbe3f3990b2b0a09e0a4,0,1582358,1582358,0,1582358,0
1c2317dbc0d5fdb64c5796844050591e,0,1582338,1582358,20,1582338,0
63e9b2bc8caf6dd5c6daddee5c55696a,0,1582358,1582358,0,1582358,0
02a3a3fc266b09b7645e538efbc1ea11,0,1582358,1582358,0,1582358,0
85e194d3ed23183769ed40aa93b26038,0,1582358,1582358,0,1582358,0
3fa2ccc8230dc08b7a4d60d24d8c43f4,0,1582358,1582358,0,1582358,0
448676cc26e220f1eb40b2fabd1888cf,0,1582358,1582358,0,1582358,0
c08cba0ed075092ab6dde234d3f1f93e,0,1582358,1582358,0,1582358,0
68387e4ccd91c2f0a78bd8050165b33a,0,1582358,1582358,0,1582358,0
02d4a21d2f38d73fd62279bf1596f6d3,0,1582358,1582358,0,1582358,0
55b5c5e6e9f50ad9adbd206f6d51d091,0,1581836,1582358,522,1581836,0
ad0ba2fa0338aaa18aefe31edb295d09,0,1578916,1582358,3442,1578916,0
c8b2ee81d5d417e9bb9e23d520c477ee,0,1582356,1582358,2,1582356,0
63e9b2bc8caf6dd5c6daddee5c55696a_2,0,1582358,1582358,0,1582358,0
73051c1f4ac17cef173632b9d2e26ecc,0,1582358,1582358,0,1582358,0
392f3f9d394ec1bc0326cece6057f22b,0,1582358,1582358,0,1582358,0
740fa950731369d92dafa370dd254efe,0,1582358,1582358,0,1582358,0
33bd295fd9249d26cd64cabb2a38b01b,0,1582358,1582358,0,1582358,0
9a0c14fc67a9e8a7c03dd118dc088395,0,1582326,1582358,32,1582326,0
d81390d541b5a2bc07e7c49a954dedfe,0,1582350,1582358,8,1582350,0
d8ecc4556c6300355248ce2df77c49d3,0,1582358,1582358,0,1582358,0
c5197a2b7c5e37eca2b4e9e23efa95e7,0,1582358,1582358,0,1582358,0
e1a39a0a656cfcdb13894a9457fbc982,0,1578916,1582358,3442,1578916,0
02a0fea41cbc325869736aa24a81b3d2,0,1582358,1582358,0,1582358,0
3555c192794f4cdfce11a9c83dfb962a,0,1564402,1582358,17956,1564402,0
07b54769cadc2fb05f0467775d13925c,0,1582354,1582358,4,1582354,0
9805c4aa14103ea03aa57bb35cd1a0d5,0,1581138,1582358,1220,1581138,0
b13265de1c866fb86021595e564a2ff2,0,1582358,1582358,0,1582358,0
25e58650fefe14858da245677147b612,0,1582358,1582358,0,1582358,0
7cb73e12f758f85209f233de87c57e5e,0,1582356,1582358,2,1582356,0
6fe80440fd1e27c9965368a5b0751107,0,1582356,1582358,2,1582356,0
a2cdd29eb6530ca55091035e753405e0,0,1582358,1582358,0,1582358,0
58c00bfa1a7cdeed42dec16b50b7a299,0,1582358,1582358,0,1582358,0
55e711623f86622365194f1ee1fb9a7e,0,1582358,1582358,0,1582358,0
